County Number	County
56	Lee
73	Page
52	Johnson
86	Tama
47	Ida
7	Black Hawk
70	Muscatine
43	Harrison
71	O'Brien
77	Polk
15	Cass
23	Clinton
31	Dubuque
24	Crawford
67	Monona
25	Dallas
82	Scott
63	Marion
44	Henry
10	Buchanan
55	Kossuth
83	Shelby
42	Hardin
9	Bremer
57	Linn
97	Woodbury
50	Jasper
64	Marshall
80	Ringgold
78	Pottawattamie
92	Washington
94	Webster
45	Howard
32	Emmet
14	Carroll
85	Story
17	Cerro Gordo
69	Montgomery
21	Clay
29	Des Moines
39	Guthrie
53	Jones
59	Lucas
30	Dickinson
62	Mahaska
96	Winneshiek
12	Butler
99	Wright
16	Cedar
48	Iowa
72	Osceola
95	Winnebago
38	Grundy
58	Louisa
75	Plymouth
84	Sioux
74	Palo Alto
49	Jackson
11	Buena Vista
34	Floyd
46	Humboldt
88	Union
22	Clayton
91	Warren
37	Greene
90	Wapello
60	Lyon
81	Sac
61	Madison
87	Taylor
13	Calhoun
41	Hancock
28	Delaware
33	Fayette
19	Chickasaw
51	Jefferson
6	Benton
79	Poweshiek
18	Cherokee
35	Franklin
20	Clarke
40	Hamilton
54	Keokuk
5	Audubon
	
8	Boone
3	Allamakee
66	Mitchell
26	Davis
4	Appanoose
93	Wayne
65	Mills
98	Worth
76	Pocahontas
68	Monroe
1	Adair
36	Fremont
2	Adams
27	Decatur
89	Van Buren
