Category	Vendor Number	Item Number	Item Description	Pack	Bottle Volume (ml)	State Bottle Cost
1011099	255	297	Templeton Rye w/Flask	6	750	$18.09 
1011099	130	249	Disaronno Amaretto Cavalli Mignon 3-50ml Pack	20	150	$6.40 
1011099	65	237	Knob Creek w/ Crystal Decanter	3	1750	$35.55 
1701100	962	238	Forbidden Secret Coffee Pack	6	1500	$11.62 
1701100	65	173	Laphroaig w/ Whiskey Stones	12	750	$19.58 
1081200	305	258	Rumchata "GoChatas"	1	6000	$99.00 
1082900	305	64000	Absente	12	750	$21.67 
1062200	35	43128	Bacardi Superior Rum	6	1750	$15.00 
1062300	65	44499	Cruzan Mango Rum	12	750	$6.82 
1081300	434	80578	Arrow Peppermint Schnapps	6	1750	$7.04 
1031200	380	41694	Uv Blue (raspberry) Vodka	12	1000	$7.50 
1031080	260	37996	Smirnoff Vodka 80 Prf	12	750	$8.25 
1081900	322	75210	Kinky Liqueur	6	750	$10.00 
1022100	410	88290	Patron Silver Tequila	12	200	$8.50 
1012300	395	15776	Bushmills Irish Whiskey	12	750	$13.00 
1081600	284	77472	Sweet Revenge	6	750	$10.98 
1062200	35	43125	Bacardi Superior Rum Pet	12	750	$7.53 
1081900	259	76478	Pama Pomegranate Liqueur	6	750	$8.83 
1041100	260	30318	Gordon's Gin London Dry - Pet	6	1750	$11.00 
1031200	380	41693	Uv Blue (raspberry) Vodka	12	750	$6.25 
1012100	971	14192	Pendleton Canadian Whisky	12	750	$12.10 
1042100	260	28867	Tanqueray Gin	12	1000	$14.99 
1012100	260	11296	Crown Royal	12	750	$14.50 
1042100	260	28866	Tanqueray Gin	12	750	$12.00 
1031080	260	37993	Smirnoff Vodka 80 Prf	48	200	$2.75 
1031200	380	40390	UV Candy Bar Mini	6	500	$29.30 
1701100	370	74476	Hiram Walker Pumpkin Spice	12	750	$4.00 
1011100	434	23278	Calvert Extra Bl Whiskey	6	1750	$11.02 
1031080	55	35318	Barton Vodka	6	1750	$6.92 
1012210	370	5036	Glenlivet 12 Yr Malt Scotch	12	750	$22.07 
1062310	260	43338	Captain Morgan Spiced Rum	6	1750	$17.75 
1041100	434	31658	Paramount Gin	6	1750	$7.10 
1011100	65	24456	Kessler Blend Whiskey	12	750	$5.51 
1012100	85	12476	Canadian Mist Whiskey Pet	12	750	$5.44 
1011100	297	23626	Five Star Pet	12	750	$3.46 
1062310	260	43337	Captain Morgan Spiced Rum	12	1000	$11.30 
1012100	115	11777	Black Velvet	12	1000	$6.63 
1062310	260	43336	Captain Morgan Original Spiced	12	750	$8.50 
1081600	259	86796	Southern Host Whiskey Liqueur	12	750	$4.87 
1011200	65	19061	Jim Beam Mini	12	500	$6.83 
1012210	305	5486	Macallan 12 Yr Single Malt Scotch	12	750	$30.07 
1082900	192	65256	Jagermeister Liqueur	12	750	$11.58 
1011200	65	19066	Jim Beam	12	750	$9.70 
1032200	370	34061	Absolut Ruby Red	12	750	$10.89 
1011100	125	27464	Cedar Ridge Wheat Whiskey	6	750	$17.77 
1011200	65	19068	Jim Beam	6	1750	$17.37 
1081300	434	80578	Arrow Peppermint Schnapps	6	1750	$7.05 
1031080	205	36969	New Amsterdam Vodka	12	750	$6.90 
1012100	65	10626	Canadian Club Whisky	12	750	$7.88 
1032080	370	34001	Absolut Swedish Vodka 80 Prf Mini	10	600	$7.92 
1031080	260	37997	Smirnoff Vodka 80 Prf	12	1000	$8.95 
1011200	434	18198	Ezra Brooks Ky Sour Mash Bourbon	6	1750	$14.34 
1062310	240	45886	Sailor Jerry Spiced Navy Rum	12	750	$9.65 
1071100	421	59037	Desert Island Long Island Ice Tea Cocktail	12	1000	$3.85 
1081900	322	75212	Kinky Blue Mini	6	500	$4.96 
1011200	55	21596	Ten High	12	750	$4.00 
1012100	260	11297	Crown Royal Canadian Whisky	12	1000	$18.50 
1031080	260	37991	Smirnoff Vodka 80 Prf Mini	12	500	$7.47 
1012210	305	5516	Macallan 18yr Single Malt Scotch	12	750	$99.95 
1011100	297	23827	Five Star	12	1000	$4.40 
1071100	55	57148	Chi-Chi's Margarita W/tequila	6	1750	$6.49 
1031080	55	37934	Skol Vodka	24	375	$1.74 
1082900	192	65253	Jagermeister Liqueur	48	200	$3.50 
1062200	35	43126	Bacardi Superior Rum	12	750	$7.53 
1062300	35	43051	Bacardi Dragon Berry	12	750	$7.33 
1031100	434	36301	Hawkeye Vodka 80 Prf Mini	12	500	$3.73 
1022100	330	89496	Margaritaville Gold Tequila	12	750	$6.52 
1011300	85	26827	Jack Daniels Old #7 Black Lbl	12	1000	$16.92 
1031080	301	38178	Titos Handmade Vodka	6	1750	$18.52 
1011300	85	86670	Jack Daniel's Tennessee Honey	12	750	$15.07 
1062200	35	43127	Bacardi Superior Rum	12	1000	$9.43 
1031080	421	36978	Nikolai Vodka	6	1750	$6.92 
1081300	65	80687	Dekuyper Blustery Peppermint Burst Schnapps	12	1000	$3.86 
1031080	260	37997	Smirnoff Vodka 80 Prf	12	1000	$9.25 
1052010	389	49186	Remy Martin Vsop Cognac	12	750	$20.83 
1082900	420	65126	Grand Marnier Cordon Rouge	12	750	$23.31 
1032080	115	34821	Svedka Vodka	6	1750	$13.28 
1012100	260	11297	Crown Royal Canadian Whisky	12	1000	$17.76 
1032080	35	34433	Grey Goose Vodka	12	750	$17.97 
1071100	395	58866	Jose Cuervo Authentic Strawberry Margarita	12	750	$4.62 
1081600	85	86887	Southern Comfort	12	1000	$11.82 
1031080	434	36306	Hawkeye Vodka	12	750	$3.25 
1012200	260	6196	Talisker Storm	6	750	$34.49 
1081600	421	64866	Fireball Cinnamon Whiskey	12	750	$8.98 
1022100	395	89193	Jose Cuervo Especial Reposado Tequila	48	200	$3.00 
1041100	434	30528	Hawkeye Gin	6	1750	$7.00 
1012100	115	11786	Black Velvet Traveler	12	750	$5.23 
1012100	115	11774	Black Velvet	24	375	$3.07 
1031200	260	77847	Smirnoff Vanilla	12	750	$8.25 
1041100	434	31666	Paramount Gin Traveler	12	750	$3.39 
1081600	259	86796	Southern Host Whiskey Liqueur	12	750	$5.37 
1081600	260	67267	Yukon Jack Canadian Liqueur	12	1000	$11.75 
1031080	297	35917	Five O'clock Vodka	12	1000	$4.17 
1031080	297	35918	Five O'clock Vodka	6	1750	$7.20 
1012200	260	5289	J & B Rare Scotch	12	1000	$14.98 
1032200	35	34605	Grey Goose La Poire Vodka	6	750	$18.49 
1062310	260	43302	Captain Morgan Black Spiced	12	750	$11.00 
1031080	434	36308	Hawkeye Vodka	6	1750	$7.13 
1062310	259	43026	Admiral Nelson Spiced Rum	12	750	$5.77 
1042100	260	28890	Tanqueray Rangpur Gin	12	750	$12.50 
1012100	115	11773	Black Velvet	48	200	$1.56 
1101100	434	41846	Everclear Alcohol	12	750	$8.25 
1031080	297	35917	Five O'clock Vodka	12	1000	$4.01 
1031080	260	38008	Smirnoff Vodka 80 Prf Pet	6	1750	$14.75 
1082900	192	65254	Jagermeister Liqueur	24	375	$6.51 
