Date,Year,Month,Date
20151120,2015,11,20
20151121,2015,11,21
20151116,2015,11,16
20151104,2015,11,4
20151117,2015,11,17
20151111,2015,11,11
20151109,2015,11,9
20151110,2015,11,10
20151130,2015,11,30
20151105,2015,11,5
20151119,2015,11,19
20151124,2015,11,24
20151118,2015,11,18
20151123,2015,11,23
20151112,2015,11,12
20130220,2013,2,20
20150126,2015,1,26
20121106,2012,11,6
20120403,2012,4,3
20130708,2013,7,8
20121113,2012,11,13
20130521,2013,5,21
20140226,2014,2,26
20131126,2013,11,26
20120731,2012,7,31
20150609,2015,6,9
20140407,2014,4,7
20121016,2012,10,16
20130417,2013,4,17
20130604,2013,6,4
20120524,2012,5,24
20120517,2012,5,17
20150921,2015,9,21
20130402,2013,4,2
20121012,2012,10,12
20121018,2012,10,18
20140612,2014,6,12
20140523,2014,5,23
20131209,2013,12,9
20120709,2012,7,9
20140402,2014,4,2
20141008,2014,10,8
20130410,2013,4,10
20141217,2014,12,17
20120925,2012,9,25
20150507,2015,5,7
20150312,2015,3,12
20150115,2015,1,15
20120306,2012,3,6
20140902,2014,9,2
20120410,2012,4,10
20140814,2014,8,14
20150803,2015,8,3
20130205,2013,2,5
20150212,2015,2,12
20121212,2012,12,12
20130403,2013,4,3
20141105,2014,11,5
20151102,2015,11,2
20130424,2013,4,24
20130610,2013,6,10
20120612,2012,6,12
20150112,2015,1,12
20131030,2013,10,30
20141015,2014,10,15
20120830,2012,8,30
20120118,2012,1,18
20131028,2013,10,28
20121211,2012,12,11
20130725,2013,7,25
20120706,2012,7,6
20140121,2014,1,21
20120510,2012,5,10
20121108,2012,11,8
20150709,2015,7,9
20150929,2015,9,29
20130724,2013,7,24
20150203,2015,2,3
20140616,2014,6,16
20140514,2014,5,14
20130408,2013,4,8
20130731,2013,7,31
20120611,2012,6,11
20141202,2014,12,2
20120222,2012,2,22
20150722,2015,7,22
20150406,2015,4,6
20141013,2014,10,13
20121117,2012,11,17
20131009,2013,10,9
20121105,2012,11,5
20140917,2014,9,17
20120425,2012,4,25
20130618,2013,6,18
20130404,2013,4,4
20130415,2013,4,15
20120409,2012,4,9
20140731,2014,7,31
20130110,2013,1,10
20130513,2013,5,13
20130701,2013,7,1
20130813,2013,8,13
20150326,2015,3,26
20120417,2012,4,17
20120530,2012,5,30
20120618,2012,6,18
20140522,2014,5,22
20130806,2013,8,6
20140515,2014,5,15
20151007,2015,10,7
20140717,2014,7,17
20130103,2013,1,3
20130904,2013,9,4
20130514,2013,5,14
20141204,2014,12,4
20150608,2015,6,8
20130107,2013,1,7
20151014,2015,10,14
20150603,2015,6,3
20120117,2012,1,17
20120305,2012,3,5
20150324,2015,3,24
20120320,2012,3,20
20120831,2012,8,31
20130918,2013,9,18
20120123,2012,1,23
20131001,2013,10,1
20131024,2013,10,24
20150413,2015,4,13
20120913,2012,9,13
20140605,2014,6,5
20120816,2012,8,16
20141118,2014,11,18
20120215,2012,2,15
20130218,2013,2,18
20140217,2014,2,17
20120404,2012,4,4
20131219,2013,12,19
20131112,2013,11,12
20130409,2013,4,9
20141021,2014,10,21
20141121,2014,11,21
20150707,2015,7,7
20150805,2015,8,5
20131218,2013,12,18
20150915,2015,9,15
20130423,2013,4,23
20131021,2013,10,21
20120626,2012,6,26
20140827,2014,8,27
20151019,2015,10,19
20150914,2015,9,14
20150824,2015,8,24
20130807,2013,8,7
20150715,2015,7,15
20120112,2012,1,12
20140206,2014,2,6
20140219,2014,2,19
20150520,2015,5,20
20140520,2014,5,20
20120808,2012,8,8
20131105,2013,11,5
20140819,2014,8,19
20130603,2013,6,3
20130911,2013,9,11
20120521,2012,5,21
20120103,2012,1,3
20141229,2014,12,29
20140707,2014,7,7
20141007,2014,10,7
20140507,2014,5,7
20150917,2015,9,17
20140304,2014,3,4
20140114,2014,1,14
20150727,2015,7,27
20150924,2015,9,24
20120822,2012,8,22
20131023,2013,10,23
20140910,2014,9,10
20121129,2012,11,29
20130926,2013,9,26
20141001,2014,10,1
20150428,2015,4,28
20120208,2012,2,8
20140716,2014,7,16
20121114,2012,11,14
20121226,2012,12,26
20150527,2015,5,27
20131118,2013,11,18
20141125,2014,11,25
20140730,2014,7,30
20120405,2012,4,5
20150505,2015,5,5
20131007,2013,10,7
20131212,2013,12,12
20120924,2012,9,24
20140325,2014,3,25
20140122,2014,1,22
20131227,2013,12,27
20140623,2014,6,23
20141110,2014,11,10
20141218,2014,12,18
20130304,2013,3,4
20131119,2013,11,19
20150827,2015,8,27
20120307,2012,3,7
20151006,2015,10,6
20120220,2012,2,20
20121127,2012,11,27
20141014,2014,10,14
20141119,2014,11,19
20130214,2013,2,14
20150107,2015,1,7
20150716,2015,7,16
20150415,2015,4,15
20120719,2012,7,19
20141226,2014,12,26
20130930,2013,9,30
20130109,2013,1,9
20140820,2014,8,20
20141219,2014,12,19
20130401,2013,4,1
20121116,2012,11,16
20150817,2015,8,17
20130715,2013,7,15
20130709,2013,7,9
20130611,2013,6,11
20150916,2015,9,16
20140422,2014,4,22
20140512,2014,5,12
20150922,2015,9,22
20140505,2014,5,5
20140825,2014,8,25
20140604,2014,6,4
20140722,2014,7,22
20140107,2014,1,7
20150414,2015,4,14
20150224,2015,2,24
20130919,2013,9,19
20140805,2014,8,5
20150325,2015,3,25
20120221,2012,2,21
20120807,2012,8,7
20131211,2013,12,11
20150629,2015,6,29
20150120,2015,1,20
20130626,2013,6,26
20130307,2013,3,7
20141022,2014,10,22
20131122,2013,11,22
20151022,2015,10,22
20150512,2015,5,12
20120214,2012,2,14
20150706,2015,7,6
20130305,2013,3,5
20150720,2015,7,20
20140416,2014,4,16
20140602,2014,6,2
20131216,2013,12,16
20141009,2014,10,9
20150601,2015,6,1
20120823,2012,8,23
20130531,2013,5,31
20141215,2014,12,15
20120904,2012,9,4
20130116,2013,1,16
20140723,2014,7,23
20120607,2012,6,7
20140501,2014,5,1
20130312,2013,3,12
20150909,2015,9,9
20130819,2013,8,19
20130722,2013,7,22
20120109,2012,1,9
20150713,2015,7,13
20130924,2013,9,24
20120716,2012,7,16
20150116,2015,1,16
20130225,2013,2,25
20121011,2012,10,11
20130318,2013,3,18
20140904,2014,9,4
20120427,2012,4,27
20141224,2014,12,24
20121213,2012,12,13
20120619,2012,6,19
20120918,2012,9,18
20130108,2013,1,8
20150310,2015,3,10
20130829,2013,8,29
20140331,2014,3,31
20141112,2014,11,12
20150708,2015,7,8
20150318,2015,3,18
20150216,2015,2,16
20130605,2013,6,5
20120328,2012,3,28
20150114,2015,1,14
20120426,2012,4,26
20120620,2012,6,20
20130815,2013,8,15
20131210,2013,12,10
20140521,2014,5,21
20130729,2013,7,29
20141006,2014,10,6
20140916,2014,9,16
20151001,2015,10,1
20130319,2013,3,19
20150108,2015,1,8
20130606,2013,6,6
20120326,2012,3,26
20140618,2014,6,18
20130703,2013,7,3
20140409,2014,4,9
20120322,2012,3,22
20150623,2015,6,23
20131015,2013,10,15
20131226,2013,12,26
20140312,2014,3,12
20150721,2015,7,21
20140120,2014,1,20
20150602,2015,6,2
20150610,2015,6,10
